OBJECTID,FOLIOID,BLDGNO,LASTMODIFIED,WHOMODIFIED,BuildingKey,BuildingNo,ImpCode,ImpCodeDesc,model,ModelDesc,LocationNo,LocationStreet,ApprDate,Appraiser,stories,bedrooms,bathrooms,ExtWall1,ExtWall2,RoofStruct,RoofCover,IntWall1,IntWall2,Floor1,Floor2,HeatType,HeatFuel,ACType,PctCond,Quality,BaseArea,ActualArea,EffectiveArea,ActualYearBuilt,EffectiveYearBuilt,FunctionalObs,EconomicObs,SpecialCondCode,SOH,StructuralIndex,DepreciationFactor,BaseRate,AdjBaseRate,NbhdRate,ReplacementCost,DepreciatedValue,OverrideValue,notes,createdDate,createdUser,ApprNum,ApprName,BathIndex,NbhdFactor,BuilderModel,DRApprDate,DRAppraiser,DRPhotoDate,SHAPE_Length,SHAPE_Area
993,10176408,1,11/10/2016 11:30,mccarthyk,92359,1,90,School,9,Educational/Recreational,,3345 CANELO DR,6/16/2009 9:22,102,1,0,0,20,0,9,4,5,0,14,0,4,4,3,0,3,0,6755,5110,1958,1958,0,0,  ,N,1.22,0.6,187.4499969,228.69,228.69,1168606,701164,0,ALLEN PARK ELEMENTARY  BLDG #2  2000-96 UPDATE KM RETRAV BLDG *04-99 UPDT PM N/C (696472/829988) *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,401.9999178,6755.004066
994,10176408,2,11/10/2016 12:01,mccarthyk,92360,2,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:24,102,1,0,0,20,0,9,12,5,0,14,0,4,4,3,0,3,0,4737,4373,1996,1996,0,0,  ,N,1.23,0.68,187.4499969,230.56,230.56,1008239,685603,0,BLDG #1  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2019 20:03,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,296.0000003,4736.999881
995,10176408,3,11/10/2016 12:04,mccarthyk,92361,3,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:24,102,1,0,0,20,0,9,4,5,0,14,0,4,4,3,0,3,0,9624,8636,1958,1958,0,0,  ,N,1.15,0.6,187.4499969,215.57,215.57,1861663,1116998,0,CAFETERIA   2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,488.0000437,9624.010604
996,10176408,4,11/10/2016 12:08,mccarthyk,92362,4,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:25,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,5092,3950,1958,1958,0,0,  ,N,1.1799999,0.6,187.4499969,221.19,221.19,873701,524221,0,BLDG #3  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,441.9667494,5459.734524
997,10176408,5,11/10/2016 12:11,mccarthyk,92363,5,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:25,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,3829,3118,1958,1958,0,0,  ,N,1.16,0.6,187.4499969,217.44,217.44,677978,406787,0,BLDG #8  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,333.9564118,3988.868185
998,10176408,6,11/10/2016 12:12,mccarthyk,92364,6,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:25,102,1,0,0,20,0,9,4,5,0,14,0,4,4,4,0,3,0,14201,10053,1958,1958,0,0,  ,N,1.22,0.6,187.4499969,228.69,228.69,2299021,1379413,0,BLDG #9  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,506.8749808,14204.05516
999,10176408,7,11/10/2016 12:12,mccarthyk,92365,7,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:26,102,1,0,0,20,0,9,4,5,0,14,0,4,4,3,0,3,0,14801,12309,1996,1996,0,0,  ,N,1.15,0.68,187.4499969,215.57,215.57,2653451,1804347,0,BLDG #10  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2019 20:03,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,1171.919653,14896.5147
1000,10176408,8,11/10/2016 11:43,mccarthyk,92366,8,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:26,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,4446,3634,1958,1958,0,0,  ,N,1.22,0.6,187.4499969,228.69,228.69,831059,498635,0,BLDG #7  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/26/2015 NEWMANK DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,399.9048205,4613.914867
1001,10176408,9,11/10/2016 11:44,mccarthyk,92367,9,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:26,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,3132,3132,1958,1958,0,0,  ,N,1.1900001,0.6,187.4499969,223.07,223.07,698655,419193,0,BLDG #6  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,274.0000016,3131.998159
1002,10176408,10,11/10/2016 11:46,mccarthyk,92368,10,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:27,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,3412,3216,1958,1958,0,0,  ,N,1.1799999,0.6,187.4499969,221.19,221.19,711347,426808,0,BLDG #5   2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,297.9997824,3412.001228
1003,10176408,11,11/10/2016 11:51,mccarthyk,92369,11,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:27,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,5305,4081,1958,1958,0,0,  ,N,1.22,0.6,187.4499969,228.69,228.69,933284,559970,0,BLDG #4  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,419.9996295,5304.997908
1004,10176408,12,11/10/2016 11:54,mccarthyk,92370,12,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:27,102,1,0,0,20,0,9,4,5,0,14,0,4,4,4,0,3,0,8398,5500,1958,1958,0,0,  ,N,1.25,0.6,187.4499969,234.31,234.31,1288705,773223,0,BLDG #11   2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,674.0001473,8397.990306
1005,10176408,13,11/10/2016 11:56,mccarthyk,92371,13,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:28,102,1,0,0,20,0,9,4,5,0,14,0,4,4,4,0,3,0,5974,5086,1958,1958,0,0,  ,N,1.24,0.6,187.4499969,232.44,232.44,1182190,709314,0,BLDG #12  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,334.0001397,5974.005796
1006,10176408,14,11/10/2016 11:58,mccarthyk,92372,14,90,School,9,Educational/Recreational,3345,CANELO DR,6/16/2009 9:28,102,1,0,0,20,0,9,4,5,0,14,0,3,4,2,0,3,0,3824,2873,1958,1958,0,0,  ,N,1.21,0.6,187.4499969,226.81,226.81,651625,390975,0,BLDG #13  2000-96 UPDATE KM TRAVERSE BLDG *04-99 UPDT PM N/C *09 UPDATE AS N/C* DESKTP RVW 5/27/2015 MAYHERP,1/1/2017 14:56,GillilandR,102,Albert Serio,0,1,0,5/27/2015,82 Pete Mayher,1/8/2015,378.0001332,3823.991671
1007,10183662,1,8/12/2015 8:42,hoskissonb,98552,1,91,Church,8,Church/Theater/Auditorium,5011,MCGREGOR BLVD,8/11/2015 10:52,82,1,0,0,17,19,4,3,5,0,14,0,4,4,3,0,5,0,7767,4445,1969,1980,0,0,  ,N,1.92,0.6,135.8800049,260.89,143.49,637813,382688,0,*ST HILARYS EPISCOPAL CHURCH*   99 REVIEW KM RETRAV BLDG DEL CHURCH IN XFS WALL HT 12/24 2002 BPMT PM CHLK 4 CHLK 6 *2006-2 UPDT PM N/C* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2017 14:57,GillilandR,82,Pete Mayher,0,0.55,0,7/1/2014,105 Susanne Habermehl,1/28/2014,249.2050203,4940.294963
1008,10183662,2,7/2/2014 8:57,hoskissonb,98553,2,92,Educational/Religious,8,Church/Theater/Auditorium,,,8/11/2015 10:52,82,1,0,0,17,0,4,3,5,0,14,0,4,4,3,0,4,0,3585,3333,1969,1980,0,0,  ,N,0.98,0.6,102.4000015,100.35,55.19,183948,110369,0,99 REVIEW KM RETRAV BLDG 2002 REVIEW PM N/C *2006-02 UPDT PM N/C* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2017 14:57,GillilandR,82,Pete Mayher,0,0.55,0,7/1/2014,105 Susanne Habermehl,1/28/2014,258.7662155,3582.352635
1009,10183662,3,7/2/2014 8:57,hoskissonb,98554,3,92,Educational/Religious,8,Church/Theater/Auditorium,,,8/11/2015 10:52,82,1,0,0,17,0,4,3,5,0,14,0,4,4,3,0,3,0,2648,2635,1969,1980,0,0,  ,N,0.88,0.6,102.4000015,90.11,49.56,130591,78355,0,99 REVIEW KM RETRAV BLDG 2002 REVIEW PM N/C *2006-02 UPDT PM N/C* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2017 14:57,GillilandR,82,Pete Mayher,0,0.55,0,7/1/2014,105 Susanne Habermehl,1/28/2014,238.6922497,2648.611585
1010,10183662,4,1/26/2016 8:09,hoskissonb,98555,4,84,Warehouse - CB/Brick,6,Warehouse/Industrial,,,8/11/2015 10:52,82,1,0,0,17,0,4,3,1,0,3,0,1,1,1,0,3,0,1040,1040,1969,1980,0,0,  ,N,1.1900001,0.6,53.6899986,63.89,51.11,53154,31892,0,STORAGE BLDG 99 REVIEW KM RETRAV BLDG 2002 BPMT PM TRAVERSE BLDG *2006-02 UPDT PM N/C* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2017 14:57,GillilandR,82,Pete Mayher,1,0.8,0,7/1/2014,105 Susanne Habermehl,2/17/2014,162.0000726,1039.999175
1011,10183662,6,7/2/2014 8:59,hoskissonb,98557,6,92,Educational/Religious,8,Church/Theater/Auditorium,5011,MCGREGOR BLVD,8/11/2015 10:52,82,1,0,0,17,19,4,3,5,0,14,0,4,4,3,0,3,0,10226,9453,1987,1987,0,0,  ,N,0.83,0.6,102.4000015,84.99,46.74,441833,265100,0,FAMILY LIFE CENTER BP13328 99 REVIEW KM MOVED BLDG FROM CARD 2 TO CARD 6 2002 REVIEW PM N/C *2006-02 UPDT PM N/C* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2018 13:04,GillilandR,82,Pete Mayher,0,0.55,0,7/1/2014,105 Susanne Habermehl,2/17/2014,417.9997396,10225.99372
1012,10183662,7,1/26/2016 8:10,hoskissonb,98558,7,84,Warehouse - CB/Brick,6,Warehouse/Industrial,5011,MCGREGOR BLVD,8/11/2015 10:52,82,1,0,0,16,0,4,3,1,0,3,0,1,1,1,0,3,0,988,832,1998,1998,0,0,  ,N,0.82,0.7,53.6899986,44.03,35.22,29303,20512,0,99 BPMT KM ADD BLDG CHLK 6 2002 REVIEW PM N/C *2006-02 UPDT PM ADD OHDOR-L* *09 UPDATE AS N/C* DESKTP RVW 7/1/2014 HABERMEHLS,1/1/2019 20:03,GillilandR,82,Pete Mayher,1,0.8,0,7/1/2014,105 Susanne Habermehl,2/17/2014,128.0000001,988.0000018
1013,10183663,1,5/1/2017 15:31,habermehls,98560,1,49,Offices - Low Rise,5,OFFICE/MEDICAL,1409,COLONIAL BLVD,2/20/2008 0:00,102,1,0,0,17,0,4,12,5,0,3,0,4,4,3,0,3,0,3222,2832,1968,2000,0,0,  ,N,1.23,0.72,109.3499985,134.5,90.12,255220,183758,0,CONVERT SERVICE STATION TO OFFICE $142K=EFF YR* 2016' SALE BLDG VACANT DESKTP RVW 5/1/2017 HABERMEHLS,1/1/2019 20:03,GillilandR,102,Albert Serio,0,0.67,0,5/1/2017,105 Susanne Habermehl,2/4/2017,301.8234122,3221.553087
1014,10183666,1,8/12/2015 16:47,hoskissonb,98563,1,56,Restaurant,4,commercial,4305,MCGREGOR BLVD,3/23/2009 0:00,54,1,0,0,26,0,4,4,5,0,11,0,4,4,3,0,3,0,1685,1563,1948,1980,0,0,  ,N,1.14,0.6,196.2200012,223.69,80.53,125868,75521,0,"MCGREGOR CAFE   BPMT 101459 80394 CHANGE USE SE  ALUM=VINYL SIDING**FST/BAS  FOP/UST 4-6-99 CJK**  **99 REVIEW KM FOP/UST FST/BAS DEL ELEC FAND & FNC B INCR BLK PVM ADD PATIO R**  2000 SALE REVW KM DEL PATIO R ADD FENCE A 2002 REVIEW PM AV/BAV *2006-02 UPDT PM VINL/CER WAC/CA BAV/AV UST/FST INC BAS &FST DEC FOP ADD PATIO-P CHLK6 DEL PLAS*09SALE JH,N/C* DESKTP RVW 4/3/2014 HABERMEHLS",4/2/2018 14:13,GillilandR,54,John Henley,0,0.36,0,4/3/2014,105 Susanne Habermehl,1/28/2014,188.0001943,1684.995415
1015,10183667,2,2/15/2018 11:49,habermehls,98566,2,126,Shed Office Building,5,OFFICE/MEDICAL,4309,MCGREGOR BLVD,7/29/2003 0:00,97,1,0,0,1,0,2,1,5,0,7,0,3,4,2,0,2,0,420,312,1945,1979,0,0,  ,N,0.86,0.6,72.4400024,62.3,62.3,19438,11663,0,FIELD CHECK 1998 SFR MOVED FROM CARD 1**FOP/BAS 4-6-99 CJK**  **99 REVIEW KM DOR 11/17 IMP TYPE 1/84 MODEL 1/6 ALUM/MIN HIP/SHED ASPH/MIN PINE/CONC  BR 2/0 BA  2/0 STORIES 2/1 ADD COMMERCIAL ELEMENTS RETRAV DEL EX FEATURES** 2003-99 UPDATE KN IMP 84/49 MODEL 06/04 SHED/HIP MIN/DRYW CONC/VNLTL MIN/FAIR PT OF BAS/UST DESKTP RVW 10/10/2008 DONAHUEB DESKTP RVW 5/10/2013 HABERMEHLS,2/15/2018 11:50,HabermehlS,97,Ken Newman,0,1,0,2/15/2018,105 Susanne Habermehl,1/6/2018,81.99999587,420.0004398
1016,10183849,1,9/28/2015 9:21,hoskissonb,98729,1,35,Stores - Retail,4,commercial,4600,MCGREGOR BLVD,9/8/2010 0:00,82,1,0,0,15,0,4,3,3,0,7,0,4,4,3,0,2,0,2363,2168,1935,1975,0,0,  ,N,0.96,0.6,100.6500015,96.62,96.62,209472,125683,0,"THE FLOWER SPOT, GIOVANNIS LITTLE ITALIAN MARKET, VIOLA'S BEAUTY SHOP** PROPERTY HAS 3 RETAIL UNITS + 5 APARTMENTS--*2010'RV PM-APPEARS 100%OCCP-NO LEASEING SIGNS POSTED--2011' RV N/C OWNERS NAME STEVEN LOFFRENO PH# 980-2804 (FROM TANGIBLE ACCOUNT)--RETAIL 100%-RES APPEARS FULL DESKTP RVW 9/25/2015 HABERMEHLS",4/2/2018 14:13,GillilandR,82,Pete Mayher,0,1,0,9/25/2015,105 Susanne Habermehl,1/7/2015,267.9999247,2363.00052
1017,10183971,1,2/9/2018 9:50,hoskissonb,98843,1,69,Country Club,7,Apt/Hotel/Clubs,3583,MCGREGOR BLVD,1/30/2018 11:58,82,3,0,0,11,0,4,3,5,0,14,0,4,4,3,0,4,0,30390,19332,1991,1993,0,0,  ,N,0.83,0.65,152.9600067,126.96,44.44,859114,558424,0,FT MYERS GOLF+COUNTRYCLUB THE EDISON RESTAUANT-BAR-BANQUETS-GOLF COURSE ON ADJACENT PARCEL,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,0.35,0,7/1/2014,105 Susanne Habermehl,2/17/2014,696.5543495,15378.96733
1018,10184029,1,5/1/2017 8:10,habermehls,98895,1,91,Church,8,Church/Theater/Auditorium,3825,MCGREGOR BLVD,11/19/2007 0:00,102,1.5,0,0,19,0,4,4,5,0,14,0,4,4,4,0,3,0,7248,7051,1967,1978,0,0,  ,N,1.2,0.6,135.8800049,163.06,122.3,862337,517402,0,*ASSEMBLY OF GOD BETHLEHEM+MINISTRYINC*  RCG85JS 5148**DREW BAS AND STP 4-8-99 CJK**  99 REVIEW KM SPLIT BLDG INTO TWO CARDS DEL BA CA/ROOF TOP WALL HT 12/20 2003-99 UPDATE KN N/C *2006-03 UPDT PM INC BAS & STP DEL CBS*  *07 SALE AS NEW CHURCH NAME ASSEMBLY OF GOD BETHLEHEM+MINISTRYINC* DESKTP RVW 4/24/2012 MAYHERP DESKTP RVW 5/1/2017 HABERMEHLS,5/1/2017 8:10,HabermehlS,102,Albert Serio,0,0.75,0,5/1/2017,105 Susanne Habermehl,2/4/2017,371.4142456,7250.638258
1019,10184029,2,5/1/2017 8:10,habermehls,98896,2,92,Educational/Religious,8,Church/Theater/Auditorium,3825,MCGREGOR BLVD,11/19/2007 0:00,102,2,0,0,17,0,9,4,5,0,14,0,4,4,3,0,3,0,23337,22678,1980,1981,0,0,  ,N,0.94,0.6,102.4000015,96.26,72.2,1637352,982411,,DREW BAS FOP CAN(2) FUS AND FCP 4-8-99 CJK**  99 REVIEW KM SPLIT BLDG INTO TWO CARDS 2003-99 UPDATE KN N/C *2006-03 UPDT PM AAV/AV*  *07 SALE AS NEW CHURCH NAME ASSEMBLY OF GOD BETHLEHEM+MINISTRYINC* DESKTP RVW 4/24/2012 MAYHERP,5/1/2017 8:10,HabermehlS,102,Albert Serio,0,0.75,0,5/1/2017,105 Susanne Habermehl,2/4/2017,694.422714,12116.85401
1020,10184295,1,5/22/2013 12:17,kingc,99148,1,74,Health/Clubhouse,7,Apt/Hotel/Clubs,,1865 GULFVIEW,11/21/2016 11:44,82,1,0,0,17,0,4,12,1,0,3,0,4,4,3,0,3,0,1514,1099,1992,1992,0,0,  ,N,0.82,0.64,115.5999985,94.79,56.87,62500,40000,0,FT MYERS GOLF COURSE-CARD#1 FT MYERS SWIM CLUB AND STORAGE  *,1/1/2019 20:03,GillilandR,82,Pete Mayher,0,0.6,0,5/21/2015,132 Liz Wise,1/7/2015,232.0000002,1514.249587
1021,10184295,2,5/22/2013 12:18,kingc,99149,2,74,Health/Clubhouse,7,Apt/Hotel/Clubs,,3650 CECIL JOHNS RD,11/21/2016 11:44,82,1,0,0,17,0,10,4,5,0,7,14,4,4,3,0,3,0,3949,3321,1964,1980,0,0,  ,N,0.97,0.6,115.5999985,112.13,67.28,223437,134062,0,LAW ENFORCEMENT TRAINING CENTER*,1/30/2018 13:25,fwmayher,82,Pete Mayher,0,0.6,0,5/21/2015,132 Liz Wise,1/7/2015,272.0000003,3949.001288
1022,10184295,3,5/22/2013 12:18,kingc,99150,3,65,Service (Repair) Garage,6,Warehouse/Industrial,,,11/21/2016 11:44,82,1,0,3,17,0,4,3,1,0,3,0,1,1,1,0,3,0,6650,6626,1992,1992,0,0,  ,N,0.94,0.64,33.8499985,31.82,31.82,210839,134937,0,GULF MAINT,1/1/2019 20:03,GillilandR,82,Pete Mayher,4,1,0,5/21/2015,132 Liz Wise,1/7/2015,359.9999731,6650.002237
1023,10184295,4,5/21/2015 8:58,wisem,99151,4,84,Warehouse - CB/Brick,6,Warehouse/Industrial,,,11/21/2016 11:44,82,1,0,0,17,0,4,3,1,0,3,0,1,1,1,0,3,0,544,544,1992,1992,0,0,  ,N,1.03,0.64,53.6899986,55.3,33.18,18050,11552,0,FERTILIZER BLDG & PUMP HSE BLDG ,1/1/2019 20:03,GillilandR,82,Pete Mayher,1,0.6,0,5/21/2015,132 Liz Wise,1/7/2015,100.0001136,544.0015687
1024,10184295,5,5/22/2013 12:23,kingc,99152,5,84,Warehouse - CB/Brick,6,Warehouse/Industrial,3583,MCGREGOR BLVD,11/21/2016 11:44,82,1,0,0,15,25,10,12,1,7,3,0,1,1,1,0,2,0,1715,1715,1962,1980,0,0,  ,N,1.3200001,0.6,53.6899986,70.87,42.52,72922,43753,0,MID-COURSE GOLF WAREHOUSE,1/30/2018 13:25,fwmayher,82,Pete Mayher,1,0.6,0,5/21/2015,132 Liz Wise,1/7/2015,168.000095,1715.001644
1025,10184295,6,5/22/2013 12:28,kingc,99153,6,84,Warehouse - CB/Brick,6,Warehouse/Industrial,3583,MCGREGOR BLVD,11/21/2016 11:44,82,1,0,0,17,0,4,3,1,0,3,0,1,1,1,0,2,0,600,600,1962,1980,0,0,  ,N,0.79,0.6,53.6899986,42.42,25.45,15270,9162,0,MID-COURSE GOLF WAREHOUSE,1/30/2018 13:25,fwmayher,82,Pete Mayher,1,0.6,0,5/21/2015,132 Liz Wise,1/7/2015,100.0000268,600.0001556
1026,10184339,1,2/10/2012 14:29,mayherp,99196,1,91,Church,8,Church/Theater/Auditorium,1819,HILL AVE,8/22/2013 10:07,82,1,0,0,17,0,4,12,5,0,14,0,4,4,3,0,3,0,7210,7042,1973,1973,0,0,  ,N,1.26,0.6,135.8800049,171.21,128.41,904263,542558,0,G89CW7411 AUDITORIUM**DREW FUS 3-24-99 CJK**  99 REVIEW BB BLDG A BA 11/9 2003-99 UPDATE KN BA 9/11 FOP/UOP BLK PVM/TOP+DEC RMS 9/10 *04 BPMT KN N/C* DESKTP RVW 8/25/2008 SERIOA DESKTP RVW 2/10/2012 MAYHERP DSKTP RVW 5/18/2018 PUSHPIN,7/2/2018 12:31,ThorpeC,82,Pete Mayher,0,0.75,0,5/18/2018,821 Pushpin,1/6/2018,313.999706,5209.9856
1027,10184339,2,12/3/2013 9:03,hoskissonb,99197,2,92,Educational/Religious,8,Church/Theater/Auditorium,1819,HILL AV,8/22/2013 10:07,82,1,0,0,17,0,4,12,5,0,14,0,4,4,3,0,3,0,9763,9458,1968,1980,0,0,  ,N,0.87,0.6,102.4000015,89.09,66.82,631984,379190,0,SUNDAY SCHOOL & OFFICES**  99 REVIEW BB BA 15/6 WALL HT 10/8 2003-99 UPDATE KN BA 6/23 RMS 15/22 BAS ADDN UOP OHDOR S EYB 72/80 *04 BPMT KN N/C* DESKTP RVW 2/10/2012 MAYHERP DSKTP RVW 5/18/2018 PUSHPIN,5/23/2018 7:48,HoskissonB,82,Pete Mayher,0,0.75,0,5/18/2018,821 Pushpin,1/6/2018,430.0000812,9763.002287
1028,10184339,3,2/10/2012 14:29,mayherp,99198,3,92,Educational/Religious,8,Church/Theater/Auditorium,1819,HILL AV,8/22/2013 10:07,82,2,0,0,17,0,4,3,5,0,14,0,4,4,3,0,3,0,4299,3856,1970,1970,0,0,  ,N,0.89,0.6,102.4000015,91.14,68.36,263596,158158,0,SUNDAY SCHOOL & APT 89BP16867**INC FOP  FOP/FSP(2)  3-24-99 CJK**  99 REVIEW BB FSP DEC FOP BA 12/8 WALL HT 9/8 2003-99 UPDATE KN FOP/UOP+INC INC FSP+BAS BA 8/6 RMS 10/4 INC BLK PVM CHLK 6 *04 BPMT KN APT/FUS* DESKTP RVW 2/10/2012 MAYHERP DSKTP RVW 5/18/2018 PUSHPIN,5/23/2018 7:48,HoskissonB,82,Pete Mayher,0,0.75,0,5/18/2018,821 Pushpin,1/6/2018,202.0003492,2242.002758
1029,10184340,1,8/13/2015 9:35,hoskissonb,99199,1,22,Multiple Residence,3,Multiples/Motels,1852,GOLF VIEW AVE,3/19/2018 12:59,82,2,17,13,17,0,4,4,5,0,11,14,3,4,4,0,3,0,14336,12608,1972,1985,0,0,  ,N,0.92,0.67,79.6100006,73.24,73.24,923410,618685,0,GOLFVIEW APARTMENTS--43 TOTAL UNITS-1EFF+18 (1/1) + 9 (2/1) +14 (2/2) + 1 (3/2)--BLDG A THIS CARD 9(1/1) + 4(2/1) *2015'SALE-RENOVATIONS INPROGRESS-MANAGEMENT UNSURE OF UNIT BREAKDOWN-SCHEDULE REVISIT ONCE STABILIZED*2018'SALE-ALL UNITS RENOVATED-HIGH OCCP,2/8/2019 15:07,HabermehlS,82,Pete Mayher,0,1,0,7/1/2014,105 Susanne Habermehl,2/17/2014,367.988994,7167.845469
1030,10184340,2,8/13/2015 9:36,hoskissonb,99200,2,22,Multiple Residence,3,Multiples/Motels,1852,GOLF VIEW AVE,3/19/2018 12:59,82,2,18,14,17,0,4,4,5,0,14,11,3,4,2,0,3,0,7572,6620,1972,1985,0,0,  ,N,1.0700001,0.67,79.6100006,85.18,85.18,563892,377808,0,BLDG D--10(1/1) +4(2/1) DESKTP RVW 7/1/2014 HABERMEHLS,2/8/2019 15:07,HabermehlS,82,Pete Mayher,0,1,0,7/1/2014,105 Susanne Habermehl,2/17/2014,291.9779005,3879.947021
1031,10184340,3,8/13/2015 9:36,hoskissonb,99201,3,14,Quadraplex,3,Multiples/Motels,1852,GOLF VIEW AVE,3/19/2018 12:59,82,2,6,7,17,0,4,4,5,0,14,11,4,4,4,0,3,0,5130,4047,1970,1984,0,0,  ,N,1,0.66,86.9400024,86.94,74.77,302594,199712,0,BLDG C--1 EFF + 3(2/2) DESKTP RVW 7/1/2014 HABERMEHLS,2/8/2019 15:07,HabermehlS,82,Pete Mayher,0,0.86,0,7/1/2014,105 Susanne Habermehl,2/17/2014,241.9704836,2739.923712
